academic_year,faculty,department,program_name,program_code,score_type,scholarship_type,quota,placed_students,vacant_quota,occupancy_rate,base_score,highest_score,success_rank
2025,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,2,,,,,,
2024,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,12,3,,0.25,,,
2023,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,20,20,,1,327.11367,,241498
2022,Mühendislik ve Mimarlık Fakültesi,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği (İngilizce) (Ücretli) (4 Yıllık),,SAY,Ücretli,8,8,,1,340.37114,,193775
2025,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,6,7,,1.166667,357.82251,,44228
2024,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,6,8,,1.333333,368.74448,,86557
2023,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,5,,1.25,411.98737,,12824
2022,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,4,,1,384.17208,,40077
2025,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,4,,1,350.67819,,56565
2024,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,5,,1.25,394.02344,,39505
2023,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,4,4,,1,389.33762,,31920
2022,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (Burslu) (4 Yıllık),,SÖZ,Burslu,3,3,,1,373.33586,,56905
2025,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,25,4,,0.16,,,
2024,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,23,19,,0.826087,,,
2023,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,25,25,,1,169.46014,,1532228
2022,Güzel Sanatlar ve Tasarım Fakültesi,Film Tasarımı ve Yönetimi,Film Tasarımı ve Yönetimi (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,15,15,,1,230.89995,,1036615
2025,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,38,6,,0.157895,,,
2024,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,35,22,,0.628571,,,
2023,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,29,29,,1,239.35165,,932690
2022,Güzel Sanatlar ve Tasarım Fakültesi,Yeni Medya ve İletişim,Yeni Medya ve İletişim (İngilizce) (%50 İndirimli) (4 Yıllık),,SÖZ,%50 İndirimli,18,18,,1,255.384,,758711
2025,Hukuk Fakültesi,Hukuk,Hukuk (Burslu) (4 Yıllık),,EA,Burslu,10,11,,1.1,419.0631,,13802
2024,Hukuk Fakültesi,Hukuk,Hukuk (Burslu) (4 Yıllık),,EA,Burslu,10,11,,1.1,410.73496,,23890
2023,Hukuk Fakültesi,Hukuk,Hukuk (Burslu) (4 Yıllık),,EA,Burslu,10,11,,1.1,423.78579,,17246
2022,Hukuk Fakültesi,Hukuk,Hukuk (Burslu) (4 Yıllık),,EA,Burslu,55,55,,1,413.8573,,35445
2025,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,9,10,,1.111111,382.22035,,54206
2024,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,7,8,,1.142857,375.34455,,69689
2023,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,5,6,,1.2,385.45486,,70644
2022,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,5,5,,1,372.80285,,113935
2025,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,10,12,,1.2,380.40624,,57201
2024,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,10,12,,1.2,377.09971,,66513
2023,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,10,11,,1.1,393.55048,,55707
2022,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,9,9,,1,394.2506,,67999
2025,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Burslu) (4 Yıllık),,EA,Burslu,10,12,,1.2,378.39668,,60799
2024,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Burslu) (4 Yıllık),,EA,Burslu,10,12,,1.2,376.75483,,67070
2023,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Burslu) (4 Yıllık),,EA,Burslu,10,12,,1.2,390.89761,,60433
2022,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Burslu) (4 Yıllık),,EA,Burslu,9,9,,1,389.65514,,77022
2025,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Burslu) (4 Yıllık),,EA,Burslu,9,10,,1.111111,373.69229,,69543
2024,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Burslu) (4 Yıllık),,EA,Burslu,7,8,,1.142857,373.60088,,72776
2023,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Burslu) (4 Yıllık),,EA,Burslu,6,8,,1.333333,376.98201,,88572
2022,İnsan ve Toplum Bilimleri Fakültesi,Yönetim Bilişim Sistemleri,Yönetim Bilişim Sistemleri (Burslu) (4 Yıllık),,EA,Burslu,,,,,,,
2025,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,4,5,,1.25,366.44523,,84447
2024,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,5,7,,1.4,363.70451,,92419
2023,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,5,6,,1.2,372.12615,,99614
2022,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,5,5,,1,362.43169,,140282
2025,Hukuk Fakültesi,Hukuk,Hukuk (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,64,64,,1,353.17363,,116522
2024,Hukuk Fakültesi,Hukuk,Hukuk (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,60,60,,1,358.20653,,105166
2023,Hukuk Fakültesi,Hukuk,Hukuk (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,48,48,,1,366.84644,,112481
2022,Hukuk Fakültesi,Hukuk,Hukuk (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,,,,,,,
2025,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,7,8,,1.142857,349.19402,,127658
2024,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,5,6,,1.2,340.64113,,153907
2023,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,4,5,,1.25,345.89501,,175334
2022,İnsan ve Toplum Bilimleri Fakültesi,İşletme,İşletme (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,3,3,,1,334.34674,,231786
2025,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,7,9,,1.285714,341.98381,,149610
2024,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,5,7,,1.4,336.47573,,167777
2023,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,4,6,,1.5,350.09369,,161002
2022,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (Burslu) (4 Yıllık),,EA,Burslu,3,3,,1,332.31621,,240075
2025,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Ücretli) (4 Yıllık),,EA,Ücretli,4,4,,1,264.46778,,648613
2024,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Ücretli) (4 Yıllık),,EA,Ücretli,23,23,,1,260.19886,,708074
2023,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Ücretli) (4 Yıllık),,EA,Ücretli,42,42,,1,240.79444,,1000556
2022,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (Ücretli) (4 Yıllık),,EA,Ücretli,11,11,,1,305.63709,,374095
2025,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,55,55,,1,258.66436,,709929
2024,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,36,36,,1,316.03036,,254833
2023,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,17,17,,1,332.83528,,227093
2022,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,40,40,,1,333.7561,,234050
2025,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,27,27,,1,247.30976,,838030
2024,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,30,30,,1,277.55491,,528334
2023,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,30,30,,1,272.83362,,638760
2022,Güzel Sanatlar ve Tasarım Fakültesi,İç Mimarlık ve Çevre Tasarımı,İç Mimarlık ve Çevre Tasarımı (İngilizce) (%50 İndirimli) (4 Yıllık),,EA,%50 İndirimli,21,21,,1,288.37536,,493383
2025,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,4,4,,1,241.3831,,907586
2024,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,Psikoloji (İngilizce) (Ücretli) (4 Yıllık),,EA,Ücretli,23,23,,1,235.07503,,1032227
