id,isim,universite,sure,tur,kosullar,siraid,fakulte,aciklama,il,unitur,onlisans,kontenjan2022,birinci2022,birincimaxpuan2022,birincipuan2022,birinciyerlesme2022,maxpuan2022,puan2022,sira2022,yerlesme2022,kiz2022,kiz2023,erkek2022,erkek2023,liseli2022,liseli2023,mezun2022,mezun2023,universiteli2022,universiteli2023,unimezunu2022,unimezunu2023,tercihtoplam2022,tercihtoplam2023,tercihbirinci2022,tercihbirinci2023,tercihilkuc2022,tercihilkuc2023,tercihilkdokuz2022,tercihilkdokuz2023,kontenjan2023,depremzedekontenjan2023,kadinkontenjan2023,sehitkontenjan2023,birinci2023,yerlesen2023,maxpuan2023,birinciyerlesen2023,birincipuan2023,depremzedeyerlesen2023,depremzedepuan2023,kadinyerlesen2023,kadinpuan2023,sehityerlesen2023,sehitpuan2023,ekkontenjan2023,eksehitkontenjan2023,ekkadinkontenjan2023,ekdepremzedekontenjan2023,sira2023,puan2023,kontenjan2024,birinci2024,sehitkontenjan2024,kadinkontenjan2024,depremzedekontenjan2024,puan2024,sira2024,maxpuan2024,yerlesen2024,birinciyerlesen2024
104890455,"Dezenfeksiyon, Sterilizasyon ve Antisepsi Teknikerliği",HACETTEPE ÜNİVERSİTESİ,2,TYT,,17818.0,Sağlık Hizmetleri Meslek Yüksekokulu,,ANKARA,DEVLET,1,30.0,1.0,274.19344,274.19344,1.0,405.57198,317.856,624937.0,30.0,18.0,21.0,13.0,11.0,7.0,6.0,14.0,15.0,5.0,7.0,4.0,4.0,785.0,673.0,77.0,69.0,167.0,136.0,406.0,354.0,30.0,0,1.0,0.0,1.0,30.0,383.92868,1.0,303.50634,0.0,0.0,1.0,238.33328,0.0,0.0,3.0,0.0,0.0,0.0,633706,323.4185,30,1,0,0,0,329.0379943847656,568977,439.23199462890625,31,0
104890456,Sahne Işık ve Ses Teknolojileri,HACETTEPE ÜNİVERSİTESİ,2,TYT,,17833.0,Sosyal Bilimler Meslek Yüksekokulu,,ANKARA,DEVLET,1,40.0,1.0,0.0,0.0,0.0,425.1885,302.76164,771226.0,41.0,13.0,22.0,28.0,20.0,4.0,3.0,10.0,6.0,17.0,12.0,7.0,16.0,1271.0,769.0,180.0,113.0,362.0,247.0,790.0,502.0,40.0,0,1.0,0.0,1.0,41.0,374.86706,0.0,0.0,0.0,0.0,1.0,209.18769,0.0,0.0,8.0,0.0,1.0,0.0,740390,312.66486,40,1,0,0,0,322.5530090332031,629029,439.21099853515625,41,0
104890457,Almanca Mütercim ve Tercümanlık,HACETTEPE ÜNİVERSİTESİ,4,DİL,"22, 24, 158, 159",3443.0,Edebiyat Fakültesi,,ANKARA,DEVLET,0,60.0,2.0,436.21874,434.79987,2.0,507.07394,440.42923,11650.0,60.0,37.0,37.0,25.0,27.0,24.0,1.0,20.0,23.0,5.0,2.0,11.0,6.0,900.0,971.0,137.0,160.0,358.0,409.0,698.0,781.0,60.0,0,2.0,0.0,2.0,60.0,493.36349,2.0,388.73109,0.0,0.0,2.0,317.41858,0.0,0.0,3.0,0.0,0.0,0.0,10478,451.70012,65,2,0,0,0,445.3580017089844,9705,486.09100341796875,65,2
104890458,Fransızca Mütercim ve Tercümanlık,HACETTEPE ÜNİVERSİTESİ,4,DİL,"22, 24, 159, 171",3452.0,Edebiyat Fakültesi,,ANKARA,DEVLET,0,60.0,2.0,0.0,0.0,0.0,483.82187,441.31912,11399.0,62.0,39.0,42.0,23.0,20.0,34.0,33.0,18.0,21.0,2.0,3.0,6.0,5.0,668.0,835.0,90.0,123.0,252.0,348.0,517.0,669.0,60.0,0,2.0,0.0,2.0,60.0,495.88308,2.0,432.31337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9743,454.53247,65,2,0,0,0,449.93798828125,8703,480.3219909667969,65,2
104890460,İngilizce Mütercim ve Tercümanlık,HACETTEPE ÜNİVERSİTESİ,4,DİL,"22, 23, 24, 160",3456.0,Edebiyat Fakültesi,,ANKARA,DEVLET,0,70.0,2.0,466.77761,466.29432,2.0,510.39697,478.72382,4605.0,70.0,52.0,43.0,20.0,21.0,46.0,39.0,25.0,20.0,0.0,2.0,1.0,2.0,2168.0,1962.0,678.0,682.0,1285.0,1165.0,1934.0,1734.0,60.0,0,2.0,0.0,2.0,60.0,514.12998,2.0,481.53465,0.0,0.0,2.0,186.10891,0.0,0.0,1.0,0.0,0.0,0.0,4025,487.44458,60,2,0,0,0,481.5320129394531,3564,526.8250122070312,60,2
104890465,Kaynak Teknolojisi,HACETTEPE ÜNİVERSİTESİ,2,TYT,321,17808.0,Başkent Organize Sanayi Bölgesi Teknik Bilimler Meslek Yüksekokulu,,ANKARA,DEVLET,1,25.0,1.0,0.0,0.0,0.0,327.95112,282.42219,1010014.0,26.0,2.0,3.0,24.0,23.0,12.0,5.0,1.0,13.0,5.0,5.0,5.0,3.0,730.0,595.0,109.0,67.0,232.0,170.0,459.0,360.0,25.0,0,1.0,0.0,1.0,26.0,344.04681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1000789,290.57045,25,1,0,0,0,306.8169860839844,798755,367.5880126953125,25,1
104890547,Yapay Zeka Mühendisliği,HACETTEPE ÜNİVERSİTESİ,4,SAYISAL,"5, 22, 23, 24, 144, 320",3528.0,Mühendislik Fakültesi,(İngilizce) (KKTC Uyruklu),ANKARA,DEVLET,0,3.0,0.0,0.0,0.0,0.0,468.51797,445.04923,60990.0,3.0,1.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,33.0,24.0,5.0,8.0,18.0,18.0,26.0,24.0,3.0,0,0.0,0.0,0.0,3.0,495.32075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90325,417.45008,2,0,0,0,0,359.0429992675781,133581,442.4289855957031,2,0
104890554,Alman Dili ve Edebiyatı,HACETTEPE ÜNİVERSİTESİ,4,DİL,"5, 22, 24, 158, 159",3442.0,Edebiyat Fakültesi,(KKTC Uyruklu),ANKARA,DEVLET,0,,,,,,,,,,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,8.0,,0.0,,1.0,,7.0,1.0,0,0.0,0.0,0.0,1.0,426.67327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18033,426.67327,1,0,0,0,0,309.114013671875,67977,309.114013671875,1,0
104890561,Fransızca Mütercim ve Tercümanlık,HACETTEPE ÜNİVERSİTESİ,4,DİL,"5, 22, 24, 159, 171",3453.0,Edebiyat Fakültesi,(KKTC Uyruklu),ANKARA,DEVLET,0,,,,,,,,,,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,13.0,,1.0,,6.0,,11.0,1.0,0,0.0,0.0,0.0,1.0,432.16696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16116,432.16696,1,0,0,0,0,374.16400146484375,35602,374.16400146484375,1,0
104890568,İletişim Bilimleri,HACETTEPE ÜNİVERSİTESİ,4,SÖZEL,5,3510.0,İletişim Fakültesi,(KKTC Uyruklu),ANKARA,DEVLET,0,,,,,,,,,,,1.0,,0.0,,1.0,,0.0,,0.0,,0.0,,10.0,,2.0,,6.0,,9.0,1.0,0,0.0,0.0,0.0,1.0,310.71648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280042,310.71648,1,0,0,0,0,317.9880065917969,281097,317.9880065917969,1,0
