sebep,source_file,program_code,program_name,university,academic_year,metric,value
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,quota,170.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_high_school,93.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,highest_score,478.99441
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_graduate,75.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,base_score,407.78592
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,success_rank,97546.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_first,45.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top9,464.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_top3,133.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,preference_total,703.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_graduate,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed_university_student,0.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710507,Mühendislik Programları,TED ÜNİVERSİTESİ,2022-2023,placed,170.0
toplu/çözülemeyen program adı,2021-2022/ankara_yks_2022.xlsx,206710038,İktisadi ve İdari Bilimler Programları,TED ÜNİVERSİTESİ,2022-2023,first_choice_placed,0.0
